district,province,illit_m,read_m,write_m,illit_f,read_f,write_f
Sedano,Burgos,2449,349,3900,6160,597,467
Segorbe,Castellón,9837,405,2427,11459,309,668
Segovia,Segovia,8336,1176,13230,14625,3109,3702
Segura,Teruel,8600,469,3691,12117,149,293
Segura de la Sierra,Jaén,9507,139,1167,9992,169,267
Seo de Urgel,Lérida,11577,436,3703,15127,150,410
Sepúlveda,Segovia,5938,853,7512,12197,1336,1126
Sequeros,Salamanca,8437,902,5492,13275,767,956
Sevilla,Sevilla,44739,2212,30271,53710,3578,16863
Sigüenza,Guadalajara,7258,521,5903,9930,883,850
Solsona,Lérida,11821,491,3149,13639,246,478
Sorbas,Almería,10532,228,1286,11713,159,243
Soria,Soria,7433,1282,11420,17229,2801,2975
Sort,Lérida,7804,397,2851,10956,165,203
Sos,Zaragoza,7497,440,3083,9771,303,702
Sueca,Valencia,13281,775,2244,14542,752,501
Tabeiros,Pontevedra,8597,625,5783,18853,796,345
Tafalla,Navarra,10401,1252,7520,12916,2330,3403
Talavera de la Reina,Toledo,12563,827,5677,15181,1149,1732
Tamarite,Huesca,9976,406,2525,11974,187,525
Tarancón,Cuenca,9748,412,3422,11909,711,918
Tarazona,Zaragoza,6953,159,1929,8464,171,577
Tarragona,Tarragona,10124,636,5644,12660,604,2056
Tarrasa,Barcelona,16783,728,8852,23064,356,1836
Teruel,Teruel,8705,515,4906,12629,345,940
Toledo,Toledo,9139,741,7280,11285,976,2613
Tolosa,Guipuzcoa,12794,2174,5317,14676,3619,2350
Tordesillas,Valladolid,5484,555,6476,9182,1008,2207
Toro,Zamora,6921,508,7253,11410,1038,2494
Torrecilla de Cameros,Logroño,2418,245,3465,5034,452,2037
Torrelaguna,Madrid,6333,745,4309,8041,623,697
Torrelavega,Santander,4694,753,7481,11237,1319,2713
Torrente,Valencia,13234,936,2578,15403,777,654
Torrijos,Toledo,10630,442,4741,13723,679,1172
Torrox,Málaga,12189,394,2736,13113,409,1221
Tortosa,Tarragona,27330,831,6402,31970,810,1621
Totana,Murcia,11049,318,1913,12456,227,766
Tremp,Lérida,12763,338,3174,14814,134,355
Trujillo,Cáceres,9302,1036,4535,12083,1072,1162
Tudela,Navarra,13473,785,6710,17076,1262,2690
Tuy,Pontevedra,10711,747,9928,26111,710,1557
Ugíjar,Granada,11122,382,2152,12839,382,759
Utrera,Sevilla,14965,369,2773,14612,328,1532
Valdeorras,Orense,8118,485,4831,13080,219,543
Valdepeñas,Ciudad Real,10982,219,3498,12872,453,1049
Valderrobres,Teruel,7259,285,2485,9402,323,403
Valencia,Valencia,39093,4562,27352,57712,5810,12945
Valencia de Alcántara,Cáceres,5662,218,1705,6686,281,326
Valencia de Don Juan,León,6193,1109,8724,11132,2578,1835
Valladolid,Valladolid,12436,1167,16015,19795,1957,5986
Valls,Tarragona,12255,734,4707,15913,542,1300
Valmaseda,Vizcaya,8306,769,6192,11846,1121,2784
Valoria la Buena,Valladolid,3922,491,4715,7224,607,825
Valverde del Camino,Huelva,9792,1575,5130,13656,1840,1128
Vendrell,Tarragona,10541,458,3280,12815,215,819
Vera,Almería,19031,347,2512,23526,375,760
Vergara,Guipuzcoa,12523,2048,5523,14377,2752,2763
Verín,Orense,12264,570,2779,16789,63,277
Viana del Bollo,Orense,5872,443,3389,10272,147,217
Vich,Barcelona,17951,1485,10218,23921,1486,2687
Viella,Lérida,2947,284,2342,5424,92,183
Vigo,Pontevedra,12601,977,8006,24954,751,1952
Villacarriedo,Santander,4009,533,6129,10409,698,1486
Villacarrillo,Jaén,13521,382,2712,14299,472,764
Villadiego,Burgos,3335,464,4608,6518,1273,590
Villafranca del Bierzo,León,12818,1278,5930,20414,165,633
Villafranca del Penedés,Barcelona,16660,856,7289,21692,583,2406
Villajoyosa,Alicante,8340,358,1363,10794,404,517
Villalba,Lugo,11062,830,5238,18762,242,404
Villalpando,Zamora,5753,855,6658,10200,1423,1598
Villalón de Campos,Valladolid,5323,861,8026,9916,1732,2741
Villanueva de la Serena,Badajoz,8463,593,2101,10276,405,572
Villanueva de los Infantes,Ciudad Real,9639,285,2446,11405,343,561
